Blue (Band 2),Green (Band 3),Red (Band 4),NIR (Band 5),SWIR (Band 6),SWIR (Band 7),class_id
10566,12304,14190,17799,20428,18942,5
10490,12220,14169,17854,20031,18206,5
10271,11901,13659,16810,18935,17514,5
10160,11687,13280,16187,18737,17554,5
10207,11823,13641,16465,19146,18114,5
10467,12264,14261,17657,20090,18908,5
10489,12249,14273,17699,20678,19542,5
10493,12255,14223,17620,20883,19588,5
10500,12243,14178,17570,20840,19597,5
10460,12059,13900,17493,20397,19009,5
10528,12347,14244,18179,20189,18698,5
10434,12108,13893,17668,19978,18526,5
10450,12154,14005,17699,20341,19066,5
10457,12226,14197,17619,20603,19346,5
10432,12144,14105,17532,20672,19425,5
10484,12205,14200,17700,20588,19182,5
10871,12863,14956,18529,20993,19246,5
10767,12581,14622,18075,20872,19216,5
10574,12337,14267,17800,20500,19127,5
10636,12451,14435,17822,20747,19139,5
10722,12494,14550,18289,20828,18698,5
10524,12258,14114,17812,20508,18449,5
10602,12301,14245,17795,20556,18791,5
10701,12539,14532,18089,20626,18915,5
10706,12546,14543,18087,20698,18907,5
10913,12868,15057,18527,21190,19449,5
10892,12743,14916,18433,21208,19479,5
10652,12340,14342,17859,20850,19061,5
10515,12272,14180,17911,20423,18672,5
10706,12505,14578,18141,21003,19314,5
10532,12205,14102,17694,20775,19116,5
10662,12515,14642,18118,21103,19662,5
10420,12135,14001,18502,20655,17663,5
10736,12545,14567,19631,21596,17402,5
10668,12406,14412,19297,21440,17268,5
10767,12658,14778,19628,21774,17406,5
10657,12414,14373,19060,21060,17522,5
10791,12743,14830,18664,20915,18982,5
10937,12930,15055,18641,21222,19433,5
10926,12975,15112,19001,21221,19161,5
11181,13345,15593,19364,21768,19774,5
10973,13048,15109,19056,21225,19182,5
10672,12547,14645,18393,20850,19228,5
10578,12389,14333,17884,20506,19200,5
10553,12268,14195,17849,20452,18900,5
10512,12230,14105,18014,20209,18355,5
10534,12225,13994,18003,20157,18449,5
10881,12905,14913,18674,20955,19298,5
10866,12869,14807,18713,20623,18763,5
11006,13110,15069,18925,20745,18966,5
10974,13127,15103,18901,20689,19006,5
10816,12833,14714,18724,20456,18381,5
10616,12279,14001,18423,20139,17714,5
10482,12240,14092,17967,20099,18467,5
10473,12232,14178,17985,20311,18590,5
10530,12254,14205,18086,20738,18531,5
10580,12363,14334,18153,20714,18529,5
10698,12496,14517,18247,20725,18589,5
10556,12465,14277,17989,20062,18314,5
10258,12000,13706,16966,18876,17406,5
10196,11770,13429,16629,18761,17158,5
10342,11945,13715,16883,19326,18007,5
10464,12173,14058,17481,20050,18697,5
10566,12283,14214,17764,20805,19488,5
10619,12423,14415,17900,20911,19744,5
10573,12304,14230,17781,20643,19344,5
10561,12279,14140,17886,20403,18945,5
10601,12409,14350,18049,20357,18916,5
10570,12304,14297,17756,20413,19190,5
10495,12156,14085,17633,20413,18936,5
10460,12175,14056,17538,20302,18850,5
10489,12179,14037,17487,20046,18579,5
10541,12250,14058,17419,19907,18463,5
10710,12483,14549,17898,20572,18988,5
10444,12075,13853,17361,20188,18735,5
10596,12315,14293,17803,20270,18654,5
10697,12528,14551,18322,20937,18563,5
10760,12609,14728,18478,21019,18716,5
10598,12224,14084,17886,20226,18114,5
10692,12475,14390,18239,20430,18342,5
10851,12795,14925,18547,20845,19092,5
10905,12888,15039,18483,21225,19827,5
10736,12400,14327,17905,20613,19192,5
10729,12581,14596,18172,21070,19716,5
10649,12401,14287,17983,20734,19119,5
10592,12281,14202,17850,20743,19207,5
10565,12281,14273,17788,20854,19364,5
10548,12327,14402,17887,21027,19592,5
10572,12339,14326,18363,21115,18370,5
10760,12712,15010,19956,21918,17451,5
10702,12530,14795,19712,21752,17043,5
10669,12508,14760,19889,21716,16898,5
10663,12406,14455,19210,21478,17433,5
